id,source,target,type,category,strength,last_verified,data_volume,criticality
dep_001,vnd_authentication_okta,vnd_payment_braintree,depends_on,authentication,0.772140669113829,2025-12-05,low,medium
dep_002,vnd_authentication_okta,vnd_payment_adyen,depends_on,authentication,0.31757856583899025,2025-03-25,high,medium
dep_003,vnd_authentication_okta,vnd_data_snowflake,depends_on,authentication,0.8887923336213304,2025-07-02,low,medium
dep_004,vnd_authentication_okta,vnd_api_sendgrid,depends_on,authentication,0.6801820654496172,2025-05-04,medium,medium
dep_005,vnd_authentication_okta,vnd_infrastructure_netlify,depends_on,authentication,0.8723894866610171,2025-07-02,low,high
dep_006,vnd_authentication_auth0,vnd_payment_adyen,depends_on,authentication,0.6455153457479652,2025-06-30,low,medium
dep_007,vnd_authentication_auth0,vnd_data_snowflake,depends_on,authentication,0.3959038536672518,2025-09-24,high,medium
dep_008,vnd_authentication_auth0,vnd_api_hubspot_api,depends_on,authentication,0.4564440926639579,2025-08-17,high,low
dep_009,vnd_authentication_auth0,vnd_api_zendesk_api,depends_on,authentication,0.5766512329843965,2025-09-17,medium,medium
dep_010,vnd_authentication_auth0,vnd_api_github_api,depends_on,authentication,0.7616534557274772,2025-02-27,high,medium
dep_011,vnd_authentication_auth0,vnd_infrastructure_fastly,depends_on,authentication,0.8558020943999449,2025-08-29,medium,medium
dep_012,vnd_authentication_microsoft_azure_ad,vnd_payment_paypal,depends_on,authentication,0.5365867902322436,2025-06-27,medium,high
dep_013,vnd_authentication_microsoft_azure_ad,vnd_data_snowflake,depends_on,authentication,0.6480523819745787,2025-08-31,low,medium
dep_014,vnd_authentication_microsoft_azure_ad,vnd_api_dropbox_api,depends_on,authentication,0.644295881084215,2025-10-12,low,low
dep_015,vnd_authentication_microsoft_azure_ad,vnd_infrastructure_heroku,depends_on,authentication,0.4395299933021042,2025-11-01,high,high
dep_016,vnd_authentication_ping_identity,vnd_payment_klarna,depends_on,authentication,0.4324529666892438,2025-10-29,medium,medium
dep_017,vnd_authentication_ping_identity,vnd_payment_square,depends_on,authentication,0.7546512299642414,2025-07-03,high,high
dep_018,vnd_authentication_ping_identity,vnd_payment_braintree,depends_on,authentication,0.2509424699229626,2025-09-14,low,medium
dep_019,vnd_authentication_ping_identity,vnd_data_redis_cloud,depends_on,authentication,0.754002214151685,2025-11-27,low,medium
dep_020,vnd_authentication_ping_identity,vnd_api_twilio,depends_on,authentication,0.37789049461824065,2025-04-11,medium,medium
dep_021,vnd_authentication_ping_identity,vnd_infrastructure_azure_vms,depends_on,authentication,0.716849059387404,2025-02-18,high,medium
dep_022,vnd_authentication_ping_identity,vnd_infrastructure_netlify,depends_on,authentication,0.6892995859092187,2024-12-29,low,low
dep_023,vnd_authentication_onelogin,vnd_payment_klarna,depends_on,authentication,0.5963667329985419,2025-11-20,low,low
dep_024,vnd_authentication_onelogin,vnd_data_azure_blob,depends_on,authentication,0.46815639211930415,2025-09-06,high,high
dep_025,vnd_authentication_onelogin,vnd_api_mailgun,depends_on,authentication,0.8043192787201308,2025-06-18,low,high
dep_026,vnd_authentication_onelogin,vnd_infrastructure_heroku,depends_on,authentication,0.8343449048836481,2025-07-04,low,high
dep_027,vnd_authentication_onelogin,vnd_infrastructure_aws_ec2,depends_on,authentication,0.7597958519927864,2025-07-16,low,medium
dep_028,vnd_payment_stripe,vnd_data_cassandra,integrates_with,data_flow,0.6481566225053559,2025-03-23,medium,low
dep_029,vnd_payment_stripe,vnd_data_aws_s3,integrates_with,data_flow,0.7679193731335322,2025-11-17,high,medium
dep_030,vnd_payment_stripe,vnd_api_zendesk_api,integrates_with,data_flow,0.44764040677373745,2025-01-16,low,high
dep_031,vnd_payment_stripe,vnd_api_mailgun,integrates_with,data_flow,0.4753902433449862,2025-07-17,low,high
dep_032,vnd_payment_stripe,vnd_api_docusign_api,integrates_with,data_flow,0.3898553558880353,2025-05-07,high,low
dep_033,vnd_payment_paypal,vnd_data_aws_s3,integrates_with,data_flow,0.7178445181751006,2025-03-26,low,high
dep_034,vnd_payment_paypal,vnd_api_hubspot_api,integrates_with,data_flow,0.5050437060207011,2025-05-16,low,medium
dep_035,vnd_payment_square,vnd_api_intercom_api,integrates_with,data_flow,0.7826827424223837,2025-01-08,low,medium
dep_036,vnd_payment_square,vnd_api_shopify_api,integrates_with,data_flow,0.7992596815928797,2025-01-27,low,high
dep_037,vnd_payment_adyen,vnd_data_aws_s3,integrates_with,data_flow,0.5890096893283703,2025-02-11,medium,high
dep_038,vnd_payment_adyen,vnd_data_google_cloud_storage,integrates_with,data_flow,0.5963095998929573,2025-02-08,low,low
dep_039,vnd_payment_adyen,vnd_data_elasticsearch_cloud,integrates_with,data_flow,0.6012583945608635,2025-02-10,low,high
dep_040,vnd_payment_adyen,vnd_api_mailgun,integrates_with,data_flow,0.7278359933507696,2025-08-18,high,low
dep_041,vnd_payment_adyen,vnd_api_intercom_api,integrates_with,data_flow,0.48529427599189523,2025-07-14,low,high
dep_042,vnd_payment_braintree,vnd_data_azure_blob,integrates_with,data_flow,0.7983103567223335,2025-05-18,medium,low
dep_043,vnd_payment_braintree,vnd_api_salesforce_api,integrates_with,data_flow,0.34321749944109436,2025-09-17,low,medium
dep_044,vnd_payment_klarna,vnd_data_databricks,integrates_with,data_flow,0.5701566815490792,2025-09-14,low,medium
dep_045,vnd_payment_klarna,vnd_api_dropbox_api,integrates_with,data_flow,0.7125856123491523,2025-07-19,medium,low
dep_046,vnd_payment_klarna,vnd_api_github_api,integrates_with,data_flow,0.5588976375392077,2025-04-01,low,low
dep_047,vnd_payment_worldpay,vnd_api_sendgrid,integrates_with,data_flow,0.946452480811556,2025-10-06,medium,medium
dep_048,vnd_payment_authorizenet,vnd_data_cassandra,integrates_with,data_flow,0.40988033398864787,2025-11-25,high,high
